,acc_num,eppi_id,short_title,title,journal,year,date_assessed,include,reason,country,geographic_region,site_details,comparator,wetland_class,saline_or_freshwater,disturbance_category,disturbance_type,restoration_time_period,restoration_activity,time_since_restoration
241,A650,1435,Thiet 2002,Diversity comparisons between diked and undiked coastal freshwater marshes on Lake Erie during a high-water year,Journal of Great Lakes Research,2002,,Y,,USA,Ohio,Lake Erie,"Disturbed, Restored",,,,,,,
242,A651,1437,Thom et al 2002,"Floristic development patterns in a restored Elk River estuarine marsh, Grays Harbor, Washington",Restoration Ecology,2002,,Y,,USA,Washington,,"Reference, Restored",,,,,,,
243,A652,1438,Thomasen & Chow-Fraser 2012,Detecting changes in ecosystem quality following long-term restoration efforts in Cootes Paradise Marsh,Ecological Indicators,2012,,Y,,Canada,Hamilton,Cootes Paradise,"Reference, Restored",,,,,,,
244,A654,1440,Thompson 2004,Evaluation of partners for fish and wildlife wetland restoration efforts in the Saginaw Bay watershed - Chapter 2,Master's Thesis,2004,,Y,,USA,Michigan,,"Reference, Restored",,,,,,,
245,A657,1443,Thomsen et al 2012,Control of Reed Canarygrass Promotes Wetland Herb and Tree Seedling Establishment in an Upper Mississippi River Floodplain Forest,Wetlands,2012,,Y,,USA,Wisconsin,La Crosse,"Disturbed, Restored",,,,,,,
246,A661,1450,Tozer et al 2018,"Multispecies benefits of wetland conservation for,marsh birds, frogs, and species at risk",Journal of Environmental Management,2018,,Y,,Canada,Ontario,Great Lakes,"Reference, Restored",,,,,,,
247,A665,1465,Tupper & Able 2000,Movements and food habits of striped bass (Morone saxatilis) in Delaware Bay (USA) salt marshes: comparison of a restored and a reference marsh,Marine Biology,2000,,Y,,USA,New Jersey,Delaware Bay,"Reference, Restored",,,,,,,
248,A669,1475,D'Astous et al 2013,Using functional diversity as an indicator of restoration success of a cut-over bog,Ecological Engineering,2013,,Y,,Canada,Quebec,Bois-des-Bel,"Reference, Restored",,,,,,,
249,A675,1486,Vanausdall & Dinsmore 2019,Habitat Associations of Migratory Waterbirds Using Restored Shallow Lakes in Iowa,Waterbirds,2019,,Y,,USA,Iowa,Prairie Pothole Region,"Disturbed, Restored",,,,,,,
250,A676,1487,Vanausdall & Dinsmore 2018,Impacts of Shallow Lake Restoration on Vegetation and Breeding Birds in Iowa,Wetlands,2018,,Y,,USA,Iowa,Prairie Pothole Region,"Disturbed, Restored",,,,,,,
251,A680,1492,VanZomeren et al 2018,Restoring a degraded marsh using thin layer sediment placement: Short term effects on soil physical and biogeochemical properties,Ecological Engineering,2018,,Y,,USA,New Jersey,,"Disturbed, Restored",,,,,,,
252,A683,1497,Barry et al. 2021,Vegetation Zonation Predicts Soil Carbon Mineralization and Microbial Communities in Southern New England Salt Marshes,Estuaries and Coasts,2021,,Y,,USA,Connecticut,,"Reference, Restored",,,,,,,
253,A686,1504,Vincent et al 2015,Fish Productivity and Trophic Transfer in Created and Naturally Occurring Salt Marsh Habitat,Estuaries and Coasts,2015,,Y,,Canada,Maine,Moody Marsh,"Reference, Restored",,,,,,,
254,A687,1505,Virgin et al 2020,"A managed realignment in the upper Bay of Fundy: Community dynamics during salt marsh restoration over 8 years in a megatidal, ice-influenced environment",Ecological Engineering,2020,,Y,,Canada,New Brunswick,Bay of Fundy,"Reference, Restored",,,,,,,
255,A691,1511,Waddington & Price 2000,"Effect of peatland drainage, harvesting, and restoration on atmospheric water and carbon exchange",Physical Geography,2000,,Y,,Canada,Quebec,,"Disturbed, Restored, Reference",,,,,,,
256,A692,1512,Waddington & Warner 2016,Atmospheric CO2 sequestration in restored mined peatlands,Ecoscience,2016,,Y,,Canada,Quebec,,"Reference, Restored",,,,,,,
257,A693,1515,Waddington et al 2007,Dissolved organic carbon export from a cutover and restored peatland,Hydrological Processes,2008,,Y,,Canada,Quebec,,"Disturbed, Restored",,,,,,,
258,A694,1516,Waddington et al 2009,Reducing the Carbon Footprint of Canadian Peat Extraction and Restoration,Reducing the Carbon Footprint of Canadian Peat Extraction and Restoration,2009,,Y,,Canada,Quebec,Bois-des-Bel,"Disturbed, Restored, Reference",,,,,,,
259,A695,1517,Waddington et al 2010,Toward restoring the net carbon sink function of degraded peatlands: Short-term response in CO2 exchange to ecosystem-scale restoration,Journal of Geophysical Research: Biogeosciences,2010,,Y,,Canada,Quebec,Bois-des-Bel,"Disturbed, Restored",,,,,,,
260,A696,1518,Waddington et al 2011,Sphagnum moss moisture retention following the re-vegetation of degraded peatlands,Ecohydrology,2011,,Y,,Canada,Quebec,Bois-des-Bel and Cacouna Bog,"Reference, Restored",,,,,,,
261,A702,1526,Wang et al 2020,Total and methylmercury concentrations in ground and surface waters in natural and restored freshwater wetlands in northern New York,Ecotoxicology,2020,,Y,,USA,New York,,"Reference, Restored",,,,,,,
262,A708,1534,Weaver 1996,A Comparison of Vegetation in Restored and Natural Wetlands in the Nebraska Sandhills,Master's Thesis,1996,,Y,,USA,Nebraska,Rock County,"Reference, Restored",,,,,,,
263,A709,1539,Wentzell et al 2021,Effects of restoration strategies on vegetation establishment in retired cranberry bogs,Plant Ecology,2021,,Y,,USA,New Jersey,New Jersey Pine Barrens,"Reference, Restored",,,,,,,
264,A733,1586,Woo et al 2018,Enhanced invertebrate prey production following estuarine restoration supports foraging for multiple species of juvenile salmonids (Oncorhynchus spp.),Restoration Ecology,2018,,Y,,USA,Pacific Northwest,Nisqually River Delta,"Reference, Restored",,,,,,,
265,A737,1590,Wozniak et al 2006,Monitoring food web changes in tide-restored salt marshes: A carbon stable isotope approach,Estuaries and Coasts,2006,,Y,,USA,New England,,"Disturbed, Restored, Reference",,,,,,,
266,A743,1602,Yao et al 2018,Soil amendments promote denitrification in restored wetlands,Restoration Ecology,2018,,Y,,USA,New York,Ithica,"Reference, Restored",,,,,,,
267,A745,1604,Yepsen et al. 2014,Agricultural wetland restorations on the USA Atlantic Coastal Plain achieve diverse native wetland plant communities but differ from natural wetlands,"Agriculture, Ecosystems & Environment",2014,,Y,,USA,Atlantic Coastal Plain,"Delaware, Maryland, Virginia, and North Carolina","Disturbed, Restored, Reference",,,,,,,
268,A746,1606,Young 2003,"Avian response to restored wetlands at the Cowaselon Creek Watershed Area near Canastota, New York",Master's Thesis,2003,,Y,,USA,New York,Cowaselon Creek Watershed Area,"Disturbed, Restored",,,,,,,
269,A754,1620,Zheng & Stevenson 2006,Algal assemblages in multiple habitats of restored and extant wetlands,Hydrobiologia,2006,,Y,,USA,Michigan,souther Michigan,"Reference, Restored",,,,,,,
270,A755,1622,Zimmer et al 2002,Effects of fathead minnows and restoration on prairie wetland ecosystems,Freshwater Biology,2002,,Y,,USA,Minnesota,Prairie Pothole Region,"Reference, Restored",,,,,,,
