"acc_num","eppi_id","short_title","title","journal","year","date_assessed","person","include","reason","country","geographic_region","site_details","comparator","wetland_class","saline_or_freshwater","disturbance_category","disturbance_type","restoration_time_period","restoration_activity","time_since_restoration","study_information","notes","measured_outcome","other_outcome","multivariate_community_composition","univariate_diversity_metric","richness","abundance_density","cover","biomass","stem_density","litter_biomass","canopy_height_structure","primary_productivity","body_size","bulk_density","soil_organic_matter","organic_carbon","cation_exchange_capacity","total_carbon","phosphorus","microbial_biomass","physiochemical_soil_property","soil_nutrients","carbon_mineralization","physiochemical_water_properties","plant_tissues_chemical_analysis","eddy_flux_measurements","ghg_emissions","gross_ecosystem_productivity","hydrology","other"
"A686","1504","Vincent et al 2015","Fish Productivity and Trophic Transfer in Created and Naturally Occurring Salt Marsh Habitat","Estuaries and Coasts","2015","18-Mar-24","KG","Y","","USA","Maine","Moody Marsh","Reference, Restored","marsh","saline","Natural system modification","disruption of hyrdology, ditching for mosquito control ","1990s","ditch plugging ","16 years?","Study Site: Moody Marsh in Wells, Maine, focused on examining the effects of fish on the benthic invertebrate communities within two distinct salt marsh habitats: natural pools and ditch-plugs. The study, conducted in July and August of 2006. 
Sampling: Measurements of dissolved oxygen, salinity, temperature, and water depth were taken using a YSI 85 multimeter. Fish enclosures and exclosures were used to assess the impact of fish on benthic invertebrate communities. Cages were constructed from wooden frames covered with nylon mesh and inserted into the marsh sediment.
Fish Sampling and Growth Analysis: Minnow traps collected male F. heteroclitus fish for the study, which were then placed in enclosures. Fish growth was monitored over five weeks, with measurements of length and weight taken weekly.
Benthic Invertebrate Sampling: Soil cores were collected at the beginning and end of the study to assess invertebrate communities. Invertebrates were identified, counted, and their biomass was determined for analysis.
Stable Isotope Analysis: Samples of dominant plant species, particulate organic matter (POM), and benthic microalgae (BMA) were collected for stable isotope analysis to understand food web dynamics. The MixSIR model was used to assess diet contributions to consumer diets.
Statistical Analysis: A variety of statistical tests were employed, including ANOVA, Wilcoxon rank sums test, and discriminant function analysis, to analyze physical parameters, invertebrate data, fish growth, and stable isotope data. The analyses aimed to explore the effects of fish presence on benthic invertebrate communities and assess habitat quality through the lens of fish productivity and diet composition.","2006","Vegetation","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","stable isotope analysis, particulate organic matter"
"A687","1505","Virgin et al 2020","A managed realignment in the upper Bay of Fundy: Community dynamics during salt marsh restoration over 8 years in a megatidal, ice-influenced environment","Ecological Engineering","2020","18-Mar-24","KG","Y","","Canada","New Brunswick","Bay of Fundy","Reference, Restored","marsh","saline","Agriculture and aquaculture","diking and draining for agricultural use ","2010","Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development","0-8 years ","Study Site: The study area is at Cumberland Basin, Bay of Fundy.  Historically it had been diked and drained since the 17th century for agricultural use. Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development.
Sampling:  Sediment deposition was tracked from 2011 to 2018 using marker horizon plots and cryogenic coring. Relationships between sediment deposition and plant characteristics were analyzed. Erosion at reference and restoration sites was estimated using orthophotographs, satellite images, and LiDAR data.
Plant and invertebrate densities were monitored from 2010 to 2018 using permanent transects. Biotic and abiotic variables in salt pools were sampled to study fish and invertebrate communities and environmental conditions. Methods included trapping for biotic samples and various measurements (e.g., water salinity, pH) for abiotic conditions.
Statistical analysis: Various statistical methods (e.g., PERMANOVA, SIMPER) were used to analyze changes in community patterns and abiotic variables.
The analysis aimed to understand annual changes and differences between sites.","PerMANOVA","Vegetation","",1,NA,1,1,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A687","1505","Virgin et al 2020","A managed realignment in the upper Bay of Fundy: Community dynamics during salt marsh restoration over 8 years in a megatidal, ice-influenced environment","Ecological Engineering","2020","18-Mar-24","KG","Y","","Canada","New Brunswick","Bay of Fundy","Reference, Restored","marsh","saline","Agriculture and aquaculture","diking and draining for agricultural use ","2010","Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development","0-8 years ","Study Site: The study area is at Cumberland Basin, Bay of Fundy.  Historically it had been diked and drained since the 17th century for agricultural use. Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development.
Sampling:  Sediment deposition was tracked from 2011 to 2018 using marker horizon plots and cryogenic coring. Relationships between sediment deposition and plant characteristics were analyzed. Erosion at reference and restoration sites was estimated using orthophotographs, satellite images, and LiDAR data.
Plant and invertebrate densities were monitored from 2010 to 2018 using permanent transects. Biotic and abiotic variables in salt pools were sampled to study fish and invertebrate communities and environmental conditions. Methods included trapping for biotic samples and various measurements (e.g., water salinity, pH) for abiotic conditions.
Statistical analysis: Various statistical methods (e.g., PERMANOVA, SIMPER) were used to analyze changes in community patterns and abiotic variables.
The analysis aimed to understand annual changes and differences between sites.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,"1",""
"A687","1505","Virgin et al 2020","A managed realignment in the upper Bay of Fundy: Community dynamics during salt marsh restoration over 8 years in a megatidal, ice-influenced environment","Ecological Engineering","2020","18-Mar-24","KG","Y","","Canada","New Brunswick","Bay of Fundy","Reference, Restored","marsh","saline","Agriculture and aquaculture","diking and draining for agricultural use ","2010","Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development","0-8 years ","Study Site: The study area is at Cumberland Basin, Bay of Fundy.  Historically it had been diked and drained since the 17th century for agricultural use. Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development.
Sampling:  Sediment deposition was tracked from 2011 to 2018 using marker horizon plots and cryogenic coring. Relationships between sediment deposition and plant characteristics were analyzed. Erosion at reference and restoration sites was estimated using orthophotographs, satellite images, and LiDAR data.
Plant and invertebrate densities were monitored from 2010 to 2018 using permanent transects. Biotic and abiotic variables in salt pools were sampled to study fish and invertebrate communities and environmental conditions. Methods included trapping for biotic samples and various measurements (e.g., water salinity, pH) for abiotic conditions.
Statistical analysis: Various statistical methods (e.g., PERMANOVA, SIMPER) were used to analyze changes in community patterns and abiotic variables. The analysis aimed to understand annual changes and differences between sites.","PerMANOVA","Fish","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A687","1505","Virgin et al 2020","A managed realignment in the upper Bay of Fundy: Community dynamics during salt marsh restoration over 8 years in a megatidal, ice-influenced environment","Ecological Engineering","2020","18-Mar-24","KG","Y","","Canada","New Brunswick","Bay of Fundy","Reference, Restored","marsh","saline","Agriculture and aquaculture","diking and draining for agricultural use ","2010","Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development","0-8 years ","Study Site: The study area is at Cumberland Basin, Bay of Fundy.  Historically it had been diked and drained since the 17th century for agricultural use. Managed realignment was used, creating two restoration sites by breaching the old dike to encourage salt marsh development.
Sampling:  Sediment deposition was tracked from 2011 to 2018 using marker horizon plots and cryogenic coring. Relationships between sediment deposition and plant characteristics were analyzed. Erosion at reference and restoration sites was estimated using orthophotographs, satellite images, and LiDAR data.
Plant and invertebrate densities were monitored from 2010 to 2018 using permanent transects. Biotic and abiotic variables in salt pools were sampled to study fish and invertebrate communities and environmental conditions. Methods included trapping for biotic samples and various measurements (e.g., water salinity, pH) for abiotic conditions.
Statistical analysis: Various statistical methods (e.g., PERMANOVA, SIMPER) were used to analyze changes in community patterns and abiotic variables.
The analysis aimed to understand annual changes and differences between sites.","PerMANOVA","Macroinvertebrates","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A691","1511","Waddington & Price 2000","Effect of peatland drainage, harvesting, and restoration on atmospheric water and carbon exchange","Physical Geography","2000","18-Mar-24","KG","Y","","Canada","Quebec","Sainte-Marguerite-Marie/Cacouna station","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","peat mining/extraction","1997-1998","blocking drainage ditches, Sphagnum fuscum and S. capillifolium transfer techniques, passive restoration ","0-1 years","Study Site: Lac St.-Jean (LSJ) Peatland, Quebec: Drainage and peat harvesting operations began in 1990 and restoration involved the use of Sphagnum fuscum and capillifolium in 1997. Rivière-du-Loup (RDL) Peatland, Quebec: An abandoned mined bog near Cacouna Station and a nearby natural bog, both classified as raised bogs. Peat harvesting from 1942 to 1975 used the block-cut method, removing up to 2m of peat. By 1998, many drainage canals were inactive, with natural revegetation occurring, although Sphagnum was largely absent.
Sampling: Evaporation was measured using a Bowen ratio-energy balance system at the LSJ site. Equilibrium evaporation at LSJ and actual evaporation at RDL were determined using the Priestley and Taylor combination model. Soil lysimeters and soil temperature measurements were used to calibrate the model at RDL and monitor soil temperature at LSJ.
Greenhouse Gas Exchange: Net ecosystem CO2 exchange (NEE) measurements were made using a climate-controlled chamber with an infrared gas analyzer (IRGA). Measurements focused on the natural, blocked, and restored sites, excluding the vacuum harvested site. Relationships between soil temperature, water table position, ecosystem respiration (R TOT), and gross ecosystem CO2 production (GEP) were established. CH4 flux was measured monthly using static enclosures, with gas samples analyzed in the lab.","1998","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,1,1,1,"1",""
"A692","1512","Waddington & Warner 2016","Atmospheric CO2 sequestration in restored mined peatlands","Ecoscience","2016","19-Mar-24","KG","Y","","Canada","Quebec","Sainte-Marguerite-Marie/Cacouna station","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","peat mining/extraction","1997-1998","blocking drainage ditches, Sphagnum fuscum and S. capillifolium transfer techniques, passive restoration ","0-2 years ","Study Site: Québec, Canada: the Sainte-Marguerite-Marie peatland and the Cacouna peatland. These sites had undergone peat extraction, followed by varying degrees of natural regeneration and intentional restoration efforts, including Sphagnum moss re-introduction and hydrological management (e.g., ditch blocking to rewet the sites).
Sampling: CO2 Exchange Measurements: Net ecosystem CO2 exchange (NEE) was measured several times a week using a climate-controlled enclosure and infrared gas analyzers (IRGA). The enclosures were placed over PVC collars set into the peat at different site types (natural, mined, restored, and naturally regenerated). Environmental Variables Monitoring: Environmental variables, including peat temperature at different depths, water table position, rainfall, and photosynthetically active radiation (PAR), were monitored continuously or measured manually several times per week at the different sites. Modeling CO2 Exchange: Continuous NEE was modeled for the different peatland communities using equations that account for gross ecosystem production (GEP), total respiration (RTOT), peat temperature, water table position, and PAR. Statistical analysis: Multi-linear regression was employed to estimate coefficients for the modeled RTOT based on peat temperature and water table position. This regression analysis provided a statistical basis for predicting total respiration across the various peatland conditions studied. ANOVA for comparing CO2 exchange dynamics across different sites, although specific details on these comparisons are not provided in the summary. Typically, these methods would involve comparing mean values of modeled NEE, GEP, and RTOT across the different peatland conditions to identify statistically significant differences or trends.","1998-1999","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,1,1,"1",""
"A693","1515","Waddington et al 2007","Dissolved organic carbon export from a cutover and restored peatland","Hydrological Processes","2007","19-Mar-24","KG","Y","","Canada","Quebec","Bois-des-Bel","Disturbed, Restored","peatland","freshwater","Biological resource use","peat mining/extraction","1999","surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10","0-2 years","Study Site: Bois-des-Bel peatland in Québec. Restoration began in autumn 1999, with the objective of increasing water retention and attracting aquatic and amphibian species through various hydrological modifications and vegetation introductions.
Sampling: Continuous recording of water levels at the outflow ditches in 1999 and 2000 using a potentiometric water level recorder, and in 2001 with a Remote Data System (RDS) water level recorder. Discharge during snowmelt and summer storm events in 2001 was estimated using salt dilution experiments, supplemented with direct measurements when possible. Precipitation was measured through the use of both a tipping bucket and a manual rain gauge located at a meteorological station within the restored site.
Water Sampling: Catchment outflows sampled three times a week from May to October during each field season; surface water from ditches and pools sampled weekly from early May to October in 2001. Rainfall samples were collected after each significant rain event. Samples were filtered using 0.7 µm Whatman GF/F filters and stored at 4 °C until analysis. Subsamples for total DOC analysis were stored in glass vials and transported in coolers to the National Water Research Institute in Burlington, Canada.
DOC Analysis: High temperature catalytic oxidation was employed using either a Dohrmann DC-190 Total Carbon Analyzer or a Shimadzu TOC 5000A instrument. Filtered water samples were acidified and purged with carrier gas to remove inorganic carbon before DOC determination. Results were corrected for system blanks, estimated daily through regression analysis of low concentration standards.","1999-2001","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,"1",""
"A694","1516","Waddington et al 2009","Reducing the Carbon Footprint of Canadian Peat Extraction and Restoration","Reducing the Carbon Footprint of Canadian Peat Extraction and Restoration","2009","19-Mar-24","KG","Y","","Canada","Quebec","Bois-des-Bel/Pointe-Lebel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","peat mining/extraction","1999, 2003-2004","BDB: surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10, PL: drainage ditch excavation occurred between 2003-2004","0-2 years, 4-7 years","Study Sites: Two main peatland sites in eastern Quebec, Pointe-Lebel peatland (PLB) and Bois-des-Bel (VH site), along with a block-cut extracted site (Cacouna or BC). These sites offer varied conditions for comparing the GHG emissions associated with different peat extraction and land-use practices. 
Warming potential: The GWP index is used to compare emissions across different greenhouse gases (GHGs) over specific time horizons (e.g., 20, 100, 500 years), relative to CO2. Methane (CH4) is considered to have 23 times the GWP of CO2 over a 100-year horizon, as per Kyoto Protocol guidelines. The study notes that the GWP methodology may not fully capture the complexities of ecosystem GHG exchanges, which are continuous and variable.
Extraction Process Data Standardization: The study standardized emissions data by assuming a hypothetical 75-ha peatland extracted over 50 years using different techniques: vacuum harvesting (VH), block-cut (BC), and an alternative method (AT). Emissions were calculated based on the areas assigned to each peatland phase and multiplied by CO2 and CH4 emissions factors from field measurements and literature.
Natural Peatland Reserves: Emissions and Sinks - CO2 and CH4 emissions rates for natural reserves were derived from literature and field measurements, providing a baseline for comparison. Peatland Preparation: Ditching/Trenching - Emissions from trenching machinery were estimated based on fuel consumption and multiplied by GHG emissions factors for diesel combustion. The method accounts for daily and annual carbon emissions from drainage ditches, factoring in GWP differences between gases.
Production Phase: Peat Extraction and Processing - Emissions associated with peat extraction machinery and transport were calculated based on fuel consumption data and GHG emissions factors. Stockpile emissions are estimated from laboratory experiments simulating stockpile conditions, including temperature and moisture content.
Peatland Restoration/After-treatment - Assumed emissions decreased linearly through a 5-year restoration period, with specific values for initial and subsequent years based on static chamber measurements and literature.","2003-2006","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,"",""
"A695","1517","Waddington et al 2010","Toward restoring the net carbon sink function of degraded peatlands: Short-term response in CO2 exchange to ecosystem-scale restoration","Journal of Geophysical Research: Biogeosciences","2010","19-Mar-24","KG","Y","","Canada","Quebec","Bois-des-Bel","Disturbed, Restored","peatland","freshwater","Biological resource use","peat mining/extraction","1999","surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10","0-3 years ","Study Site: The research was conducted at the Bois-des-Bel peatland in the Bas-Saint-Laurent region of Quebec, Canada. This site was previously drained and vacuum extracted for peat until 1980, after which it was left abandoned until 1999. The study compares a restored section of this peatland to a neighboring unrestored section over a period of one year before restoration (1999) and three years post-restoration (2000-2002). The restoration process, initiated in autumn 1999, employed standard North American restoration techniques aimed at re-establishing a functional carbon-accumulating ecosystem. Key restoration activities included: Clearing the surface of all vegetation and woody material. Blocking drainage ditches and creating dykes to retain snowmelt. Spreading Sphagnum fragments from a donor peatland and protecting them with straw mulch. Applying phosphorus fertilizer to enhance the colonization by vascular plants.
Sampling:  The study investigated the CO2 exchange between the atmosphere and the peatland by measuring the net ecosystem exchange (NEE), ecosystem respiration (ER), and gross ecosystem photosynthesis (GEP) using chamber techniques across various vegetation types and bare peat areas. Measurements were taken several times a week during the growing season (May to early October) over the study period. The CO2 flux was calculated from the change in concentration over time, and these measurements were upscaled to the ecosystem level based on the proportion of each surface cover type. Environmental variables such as precipitation, temperature, peat moisture, water table position, and photosynthetically active radiation (PAR) were continuously measured at micrometeorological towers located in both the restored and cutover sites. These measurements helped in understanding the effects of restoration on the peatland's microclimate and hydrological conditions.
Data/Statistical Analysis: The growing season was divided into three periods (pregreen, green, and postgreen) for detailed analysis. GEP was modeled as a function of PAR using a non-rectangular hyperbola relationship, and empirical relationships between ER and environmental variables were determined using multiple linear regression. The total ecosystem NEE was calculated by weighting the carbon flux from each vegetation type by its total surface area.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,1,1,1,"1","ecosystem respiration?"
"A696","1518","Waddington et al 2011","Sphagnum moss moisture retention following the re-vegetation of degraded peatlands","Ecohydrology","2011","19-Mar-24","KG","Y","","Canada","Quebec","Bois-des-Bel and Cacouna Bog","Reference, Restored","peatland","freshwater","Biological resource use","peat mining/extraction","1998-1999 ","BDB: surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10, CB: passive restoration, naturally revegetated ","8-9 years ","Study Sites: The study was conducted at two sites in the Bas-Saint-Laurent region of Quebec: the Bois-des-Bel (BDB) and Cacouna Bog (CB). BDB included the natural and restored sites, while CB represented the naturally re-vegetated site. These sites provided varied conditions for studying Sphagnum rubellum's growth and the peat's properties resulting from different restoration and natural processes.
Field Measurements: Capitula Density: High-resolution digital photographs were taken across the sites to measure the moss's capitula density. These photos helped in counting the number of capitula per square meter, providing insight into the moss's growth patterns. Peat Block Collection: Large peat blocks were collected from each site, frozen, and transported to the laboratory. These blocks were used to analyze various properties, including bulk density, specific yield, and moisture retention curves.
Peat 'Pucks': Cylindrical samples from the collected peat blocks were used for detailed analyses. These 'pucks' were sampled from two depth intervals, upper (0–4 cm) and lower (8–12 cm), to compare properties between the surface and a slightly deeper layer.
Hydrophysical Property Analysis: The study assessed specific yield, bulk density, porosity, and moisture retention curves. Specific yield and moisture retention are crucial for understanding water storage and movement within the peat, affecting the moss's survival and growth.
Von Post Decomposition: The degree of peat decomposition was determined using the Von Post scale, which classifies peat based on its physical characteristics when squeezed.","2007 study took place, for Caucona station it says passive restoration but that by ""1998, many drainage canals were inactive, with natural revegetation occurring, although Sphagnum was largely abset"" thus chose that as the restoration date for that peatland ","Vegetation","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","peat moisture retention/water storage "
"A696","1518","Waddington et al 2011","Sphagnum moss moisture retention following the re-vegetation of degraded peatlands","Ecohydrology","2011","19-Mar-24","KG","Y","","Canada","Quebec","Bois-des-Bel and Cacouna Bog","Reference, Restored","peatland","freshwater","Biological resource use","peat mining/extraction","1998-1999 ","BDB: surface tilling to remove surface debris, partial filling of the drainage ditches with surface debris (mostly wood and peat), construction of a series of bunds along topographic contours, and the spreading of Sphagnum diaspores at a density ratio of approximately 1:10, CB: passive restoration, naturally revegetated ","8-9 years ","Study Sites: The study was conducted at two sites in the Bas-Saint-Laurent region of Quebec: the Bois-des-Bel (BDB) and Cacouna Bog (CB). BDB included the natural and restored sites, while CB represented the naturally re-vegetated site. These sites provided varied conditions for studying Sphagnum rubellum's growth and the peat's properties resulting from different restoration and natural processes.
Field Measurements: Capitula Density: High-resolution digital photographs were taken across the sites to measure the moss's capitula density. These photos helped in counting the number of capitula per square meter, providing insight into the moss's growth patterns. Peat Block Collection: Large peat blocks were collected from each site, frozen, and transported to the laboratory. These blocks were used to analyze various properties, including bulk density, specific yield, and moisture retention curves.
Peat 'Pucks': Cylindrical samples from the collected peat blocks were used for detailed analyses. These 'pucks' were sampled from two depth intervals, upper (0–4 cm) and lower (8–12 cm), to compare properties between the surface and a slightly deeper layer.
Hydrophysical Property Analysis: The study assessed specific yield, bulk density, porosity, and moisture retention curves. Specific yield and moisture retention are crucial for understanding water storage and movement within the peat, affecting the moss's survival and growth.
Von Post Decomposition: The degree of peat decomposition was determined using the Von Post scale, which classifies peat based on its physical characteristics when squeezed.","2007 study took place, for Caucona station it says passive restoration but that by ""1998, many drainage canals were inactive, with natural revegetation occurring, although Sphagnum was largely abset"" thus chose that as the restoration date for that peatland","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",1,NA,NA,NA,NA,"","peat moisture retention/water storage "
"A702","1526","Wang et al 2020","Total and methylmercury concentrations in ground and surface waters in natural and restored freshwater wetlands in northern New York","Ecotoxicology","2020","19-Mar-24","KG","Y","","USA","New York","St. Lawrence River","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","disruption of hydrology for agricultural use ","not specified","creating berms for water stage control, reversing agricultural drainage, and constructing impoundments with control structures to manage water levels","not specified ","Study Sites: The study was conducted on twenty wetland sites along the St. Lawrence River in New York State, encompassing both natural (4 sites) and restored (16 sites) wetlands. Restored wetlands were rehabilitated as part of a Public-Private Partnership (PPP) within the St. Lawrence River watershed, featuring soil textures predominantly of silt clay. They are mostly found in agricultural landscapes. Natural wetlands were located in more forest-dominated watersheds, featuring diverse vegetation including hardstem bulrush, reed canary grass, cattail, and meadow willow. Restorations involved creating berms for water stage control, reversing agricultural drainage, and constructing impoundments with control structures to manage water levels.  
Sampling: Historical temperature and precipitation data (1989–2010) were sourced from NOAA’s Climate Data Online, highlighting the region's cool climate with significant precipitation, especially in fall.
Water Sampling: Involved both surface and groundwater sampling across the 20 sites, with groundwater wells installed adjacent to the wetlands for water chemistry analysis. Water levels were recorded hourly, and samples were collected for Hg species and water quality measurements from May to October 2015.
Chemical Analyses: Water samples were analyzed for total Hg, methylmercury, major solutes, and nutrients, adhering to strict quality control protocols.
Data Analyses: Wetlands and their drainage areas were delineated using ArcGIS and USGS StreamStats, with land use data obtained from the National Land Cover Database 2011. Statistical analyses, including ANOVA and linear regression, were conducted to explore relationships between Hg concentrations and various variables, using R and Minitab software.","Study took place in 2015 ","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,"1","mercury concentration"
"A708","1534","Weaver 1996","A Comparison of Vegetation in Restored and Natural Wetlands in the Nebraska Sandhills","Master's Thesis","1996","19-Mar-24","KG","Y","","USA","Nebraska","Rock County","Reference, Restored","wetland","freshwater","Transportation and service corridors","construction of a nearby highway ","1993","manipulation of land to achieve proper elevation, reintroduction of vegetation and covering the substrate with hydric soil from natural nearby wetlands ","2 years","Study Site: Nebraska Sandhill wetlands, 3 reference and 3 restored sites. These wetlands were restored in 1993 through the Nebraska Department of Roads whereby they restored 10 wetlands for mitigation purposes. Restorations were accomplished through manipulation of the land surface to achieve proper elevation and then through the reintroduction of vegetarion using one of the following procedures: 1) introducing a wetland seed mix, 2) planting seedlings or 3) convering the substrate with hydric soils from natural wetlands. Restored sites in this study were limited to those using hydric soil replacement. Sampling: At each weland vegetation was evaluated along five random 25m line transects between July and August in 1995 using a canopy cover procedure. Statistical anlaysis: community analyses were conducted using the PC-ORD version of DCA as well as cluster analysis using group averages. Mean values used in ordinaiton and cluster analysis were calculated by combining all plots with the same numerical designation from a single treatment. ANOVA and SNK multicomparison tests were run on canopy cover for those species with a frequency of at least ten percent in either the natural or the restored area. ","ordination","Vegetation","",1,NA,1,1,1,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A709","1539","Wentzell et al 2021","Effects of restoration strategies on vegetation establishment in retired cranberry bogs","Plant Ecology","2021","19-Mar-24","KG","Y","","USA","New Jersey","New Jersey Pine Barrens","Reference, Restored","swamp","freshwater","Agriculture and aquaculture","drained for cropland (cranberry farming) ","2007-2010","restoration of natural hydrological cycles, micro-topographic modifications, and in some cases, additional planting of Atlantic white cedar (C. thyoides)","8-10 years ","Study Site:  New Jersey Pine Barrens (NJPB), focused on evaluating the restoration outcomes of wetland agricultural sites within the Franklin Parker Preserve (FPP). These sites had undergone farming through traditional or modernized methods before restoration efforts began in 2007, with completion in 2010. The analysis in 2017, about a decade later, aimed to assess the ecological recovery of these sites. Restoration strategies included returning to natural hydrological cycles, micro-topographic modifications, and in some cases, additional planting of Atlantic white cedar (C. thyoides).
Sampling:  Vegetation surveys were conducted in June and August of 2017, with a nested quadrat design for detailed vegetation analysis across trees, shrubs, and herbaceous plants.
Statistical Analysis:  Plants were assigned coefficients of conservatism (COC) values to monitor restoration outcomes, with the Floristic Quality Index (FQI) used to determine wetland health. The Bray–Curtis dissimilarity index analyzed plant assemblage similarities across site types. Richness, evenness, and diversity were calculated for a comprehensive understanding of plant community structure. R Studio facilitated analyses including indicator species analysis (to define site-specific indicator species) and non-metric multidimensional scaling (NMDS) ordination (to analyze plant assemblages between site types). One-way ANOVA and Tukey HSD post-hoc tests compared FQI scores, richness, evenness, and diversity by site type, with datasets checked for normality and homogeneity of variance prior to analysis.","NMDS","Vegetation","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
